,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Visibility (km),Autumn,Spring,Summer,Winter,coastal,inland,mountain,Cloudy,Rainy,Snowy,Sunny
40,32.0,37.0,0.5,9.0,1,1013.99,11,8.5,0,0,0,1,0,1,0,0,0,0,1
41,36.0,22.0,1.0,0.0,0,1028.63,10,5.5,0,0,1,0,0,0,1,0,0,0,1
42,28.0,54.0,15.0,39.0,1,1018.86,3,8.5,0,0,0,1,0,0,1,1,0,0,0
43,42.0,64.0,2.0,18.0,1,1028.55,8,8.0,1,0,0,0,0,0,1,0,0,0,1
44,21.0,43.0,10.0,11.0,0,1019.41,11,6.0,0,1,0,0,0,0,1,0,0,0,1
45,22.0,50.0,0.0,18.0,0,1016.5,5,8.0,0,0,1,0,1,0,0,0,0,0,1
46,33.0,66.0,9.0,18.0,1,1014.34,3,6.0,1,0,0,0,0,0,1,1,0,0,0
47,26.0,25.0,2.5,14.0,1,1010.34,8,5.0,0,0,0,1,0,0,1,0,0,0,1
48,26.0,91.0,9.5,82.0,3,1019.42,3,4.0,0,0,1,0,0,0,1,0,1,0,0
49,-2.0,98.0,18.5,86.0,3,981.26,0,3.5,0,0,0,1,0,0,1,0,0,1,0
50,17.0,90.0,11.0,98.0,3,1017.49,3,4.0,0,0,0,1,0,1,0,0,1,0,0
51,25.0,55.0,8.5,37.0,1,1014.49,4,7.5,0,0,1,0,0,1,0,1,0,0,0
52,-4.0,96.0,20.0,88.0,1,990.72,1,4.5,0,0,0,1,0,0,1,0,0,1,0
53,-1.0,87.0,14.0,78.0,3,984.11,0,4.0,0,0,0,1,0,1,0,0,0,1,0
54,-5.0,94.0,5.5,55.0,3,991.65,0,3.0,0,0,0,1,0,1,0,0,0,1,0
55,22.0,95.0,13.0,90.0,3,997.97,3,2.5,1,0,0,0,1,0,0,0,1,0,0
56,41.0,85.0,9.0,101.0,3,1017.89,3,7.5,0,0,1,0,0,0,1,1,0,0,0
57,33.0,41.0,0.0,4.0,0,1018.56,7,9.5,0,0,0,1,1,0,0,0,0,0,1
58,31.0,70.0,0.5,69.0,3,1074.07,3,12.5,0,1,0,0,0,1,0,0,0,0,1
59,16.0,84.0,18.5,54.0,3,996.12,0,3.0,0,1,0,0,1,0,0,0,1,0,0
60,10.0,64.0,14.0,18.0,3,1011.96,1,8.5,0,1,0,0,1,0,0,1,0,0,0
61,29.0,63.0,6.0,68.0,3,992.45,0,3.0,0,0,0,1,0,0,1,0,1,0,0
62,15.0,55.0,1.5,32.0,1,1009.01,2,5.5,1,0,0,0,0,1,0,1,0,0,0
63,3.0,75.0,46.5,87.0,3,996.85,5,4.5,0,0,0,1,0,1,0,0,0,1,0
64,24.0,52.0,9.0,29.0,1,1007.84,1,8.0,1,0,0,0,0,0,1,1,0,0,0
65,25.0,85.0,9.0,67.0,3,995.4,1,2.0,0,0,0,1,0,0,1,0,1,0,0
66,25.0,89.0,1.5,87.0,1,1017.16,11,6.5,0,0,1,0,0,0,1,0,0,0,1
67,24.0,47.0,8.0,17.0,0,1025.22,5,6.0,0,0,1,0,0,0,1,0,0,0,1
68,2.0,97.0,2.0,89.0,1,993.14,0,3.0,0,0,0,1,0,1,0,0,0,1,0
69,21.0,54.0,3.0,17.0,0,1026.15,7,8.0,0,0,1,0,0,0,1,0,0,0,1
70,2.0,81.0,13.5,57.0,3,983.36,1,4.0,0,0,0,1,0,1,0,0,0,1,0
71,21.0,75.0,3.5,41.0,1,1017.74,2,8.0,0,0,0,1,0,0,1,1,0,0,0
72,11.0,52.0,6.0,97.0,3,1063.39,7,12.5,0,0,1,0,0,1,0,0,0,1,0
73,31.0,62.0,6.5,84.0,3,1013.61,0,4.5,0,1,0,0,0,1,0,0,1,0,0
74,33.0,31.0,6.5,18.0,0,1022.53,7,8.5,0,0,1,0,1,0,0,0,0,0,1
75,34.0,47.0,5.0,4.0,0,1027.53,9,10.0,0,1,0,0,0,1,0,0,0,0,1
76,21.0,66.0,13.5,29.0,1,1018.98,3,8.5,1,0,0,0,0,0,1,1,0,0,0
77,28.0,68.0,18.0,90.0,3,992.83,3,5.0,0,0,0,1,0,0,1,0,1,0,0
78,33.0,62.0,10.0,83.0,1,1009.48,1,3.5,0,0,1,0,0,1,0,0,1,0,0
79,25.0,96.0,6.0,90.0,3,1006.67,0,4.5,1,0,0,0,0,0,1,0,1,0,0
80,27.0,73.0,9.5,47.0,1,1017.82,1,7.0,0,0,1,0,1,0,0,1,0,0,0
81,49.0,75.0,11.5,82.0,1,1029.09,10,7.0,0,0,1,0,1,0,0,0,0,0,1
82,-5.0,73.0,12.0,63.0,1,983.83,1,4.5,0,0,0,1,0,1,0,0,0,1,0
83,31.0,68.69447404475567,5.5,99.0,3,1019.92,0,4.5,0,0,1,0,0,0,1,0,1,0,0
84,2.0,91.0,6.5,92.0,3,999.46,0,2.5,0,0,0,1,0,1,0,0,0,1,0
85,32.0,35.0,2.5,63.0,1,1160.48,2,0.0,0,0,0,1,1,0,0,0,0,0,1
86,-7.0,78.0,10.0,96.0,3,999.99,7,1.0,0,0,0,1,0,1,0,0,0,1,0
87,27.0,43.0,1.0,8.0,0,1022.48,9,9.0,0,0,1,0,0,0,1,0,0,0,1
88,12.0,56.0,9.5,19.0,1,1014.4,4,6.5,0,0,0,1,0,0,1,1,0,0,0
89,-7.0,93.0,9.0,60.0,3,995.63,1,4.0,0,0,0,1,0,1,0,0,0,1,0
90,15.0,81.0,28.5,71.0,1,1008.0,4,6.0,0,0,0,1,0,1,0,1,0,0,0
91,30.0,64.0,6.0,67.0,1,1009.12,3,4.0,0,0,1,0,1,0,0,0,1,0,0
92,19.0,93.0,14.5,57.0,3,1018.44,0,4.0,0,0,0,1,0,1,0,0,1,0,0
93,14.0,44.0,9.0,11.0,1,853.01,14,3.5,0,0,0,1,1,0,0,0,1,0,0
94,32.0,38.0,11.0,15.0,1,824.71,9,12.5,1,0,0,0,0,1,0,0,0,1,0
95,17.0,88.0,18.0,83.0,1,1026.94,0,5.5,0,1,0,0,0,0,1,0,0,0,1
96,23.0,88.0,11.5,65.0,3,1000.74,1,5.0,0,0,0,1,0,0,1,0,1,0,0
97,28.0,35.0,9.5,0.0,1,1023.62,9,10.0,0,0,0,1,1,0,0,0,0,0,1
98,-4.0,87.0,5.0,54.0,3,981.02,1,4.5,0,0,0,1,0,0,1,0,0,1,0
99,31.0,72.0,17.0,96.0,1,1013.85,13,3.5,0,0,0,1,0,1,0,1,0,0,0
109,38.0,75.0,0.5,79.0,3,1057.69,0,10.0,0,0,1,0,0,1,0,0,1,0,0
110,20.0,48.0,9.5,6.0,0,1015.16,6,8.5,1,0,0,0,0,0,1,0,0,0,1
111,19.0,82.0,7.0,85.0,1,1008.5,1,3.5,0,0,1,0,1,0,0,0,1,0,0
112,18.0,70.0,5.0,94.0,3,1012.87,2,3.5,0,1,0,0,0,0,1,0,1,0,0
113,18.0,60.0,12.5,42.0,3,822.66,2,17.5,0,0,1,0,0,0,1,0,1,0,0
114,2.0,80.0,13.5,79.0,3,995.74,1,1.5,0,0,0,1,0,1,0,0,0,1,0
115,1.0,81.0,9.5,63.0,3,983.99,1,3.5,0,0,0,1,0,0,1,0,0,1,0
116,22.0,69.0,1.0,19.0,1,1011.5,2,6.0,1,0,0,0,0,0,1,1,0,0,0
117,-10.0,70.0,2.5,56.0,3,989.29,1,4.0,0,0,0,1,0,0,1,0,0,1,0
118,32.0,61.0,5.5,53.0,3,995.09,2,4.0,0,0,1,0,0,1,0,0,1,0,0
119,41.0,29.0,8.0,17.0,0,1011.53,11,10.0,0,1,0,0,0,1,0,0,0,0,1
120,-1.0,99.0,2.5,72.0,3,998.51,0,2.0,0,0,0,1,0,0,1,0,0,1,0
121,31.0,65.0,1.5,18.0,3,1008.47,2,9.0,0,0,1,0,0,1,0,1,0,0,0
122,19.0,62.0,1.0,14.0,1,1016.5,2,5.5,1,0,0,0,1,0,0,1,0,0,0
123,-3.0,92.0,28.0,99.0,1,987.7,1,4.5,0,0,0,1,0,0,1,0,0,1,0
124,-1.0,83.0,18.0,73.0,3,983.46,0,1.5,0,0,0,1,0,1,0,0,0,1,0
125,3.0,70.0,2.0,81.0,3,984.9,1,2.0,0,0,0,1,0,0,1,0,0,1,0
126,0.0,64.0,4.5,52.0,3,984.59,1,1.0,0,0,0,1,0,1,0,0,0,1,0
127,26.0,76.0,9.0,68.0,3,1004.27,3,3.5,0,1,0,0,0,1,0,0,1,0,0
128,22.0,92.0,19.5,81.0,3,1017.76,0,4.5,0,0,0,1,1,0,0,0,1,0,0
129,20.0,96.0,14.0,94.0,3,997.77,0,4.5,0,0,1,0,0,0,1,0,1,0,0
130,23.0,52.0,1.0,36.0,1,1017.92,1,8.5,0,1,0,0,0,0,1,1,0,0,0
131,3.0,81.0,2.5,89.0,3,992.78,1,2.0,0,0,0,1,0,0,1,0,0,1,0
132,20.0,95.0,16.0,91.0,3,1016.14,0,2.5,0,0,1,0,0,0,1,0,1,0,0
133,-2.0,91.0,2.5,83.0,3,982.21,1,4.0,0,0,0,1,0,0,1,0,0,1,0
134,29.0,77.0,0.5,91.0,2,934.49,14,17.0,1,0,0,0,0,1,0,0,0,0,1
135,2.0,77.0,6.5,75.0,1,998.0,0,3.0,0,0,0,1,0,0,1,0,0,1,0
136,16.0,67.0,6.5,45.0,1,1008.69,2,5.5,0,0,1,0,1,0,0,1,0,0,0
137,46.0,94.0,4.0,90.0,0,1022.88,10,12.5,0,1,0,0,0,0,1,0,0,0,1
138,-2.0,92.0,1.0,71.0,3,998.01,1,1.5,0,0,0,1,0,1,0,0,0,1,0
139,20.0,50.0,6.5,21.0,1,1013.93,4,6.0,1,0,0,0,0,1,0,1,0,0,0
140,0.0,64.0,10.5,78.0,3,994.62,0,3.0,0,0,0,1,0,0,1,0,0,1,0
141,22.0,48.0,6.0,15.0,0,1020.0,5,9.5,0,1,0,0,0,1,0,0,0,0,1
142,29.0,50.0,5.5,13.0,3,1002.04,4,8.0,1,0,0,0,0,1,0,1,0,0,0
143,4.0,77.0,13.0,76.0,3,983.25,1,2.5,0,0,0,1,0,0,1,0,0,1,0
144,40.0,39.0,9.5,15.0,0,1029.84,8,8.0,1,0,0,0,1,0,0,0,0,0,1
145,-3.0,60.0,8.0,94.0,3,981.56,1,3.0,0,0,0,1,0,1,0,0,0,1,0
146,33.0,25.0,4.0,3.0,1,1027.6,11,6.5,0,1,0,0,1,0,0,0,0,0,1
147,31.0,87.0,11.0,54.0,1,995.87,0,3.5,0,1,0,0,0,0,1,0,1,0,0
148,41.0,72.0,2.5,26.0,2,973.08,6,8.5,0,1,0,0,0,1,0,0,1,0,0
149,33.0,77.0,1.0,22.0,1,1018.78,4,8.5,0,0,0,1,0,0,1,1,0,0,0
150,-5.0,68.0,0.5,96.0,3,992.19,1,1.5,0,0,0,1,0,0,1,0,0,1,0
151,-9.0,90.0,1.5,97.0,3,999.08,1,4.5,0,0,0,1,0,0,1,0,0,1,0
152,1.0,89.0,7.5,76.0,1,982.22,1,4.5,0,0,0,1,0,1,0,0,0,1,0
153,13.0,62.0,14.0,13.0,3,1003.74,1,9.0,1,0,0,0,0,1,0,1,0,0,0
154,13.0,75.0,9.5,40.0,3,1005.39,2,8.0,1,0,0,0,0,1,0,1,0,0,0
155,15.0,105.0,7.5,75.0,3,1006.45,10,4.0,0,0,1,0,0,1,0,1,0,0,0
156,31.0,86.0,13.5,78.0,3,999.25,3,4.0,0,0,0,1,0,1,0,0,1,0,0
157,26.0,60.0,11.5,50.0,1,995.67,3,3.5,0,0,1,0,0,1,0,0,1,0,0
158,44.0,25.0,1.0,6.0,1,1016.02,10,5.5,0,0,1,0,1,0,0,0,0,0,1
159,28.0,93.0,12.5,50.0,1,997.24,0,5.0,0,0,1,0,1,0,0,0,1,0,0
160,18.0,88.0,15.5,88.0,3,997.61,1,3.5,0,0,0,1,0,1,0,0,1,0,0
161,30.0,77.0,12.0,51.0,1,1007.88,0,3.5,0,1,0,0,0,1,0,0,1,0,0
162,24.0,50.0,3.5,10.0,3,1017.18,4,6.5,0,0,1,0,0,0,1,1,0,0,0
163,36.0,32.0,6.0,2.0,0,1026.15,7,7.5,0,1,0,0,1,0,0,0,0,0,1
164,3.0,75.0,10.5,73.0,3,980.47,1,3.0,0,0,0,1,0,0,1,0,0,1,0
165,35.0,49.0,9.0,14.0,0,1010.52,10,7.0,1,0,0,0,1,0,0,0,0,0,1
166,26.0,43.0,7.0,18.0,1,1024.37,5,6.0,0,0,1,0,0,0,1,0,0,0,1
167,16.0,59.0,11.5,37.0,1,1004.12,4,6.5,0,0,1,0,0,0,1,1,0,0,0
168,38.0,73.0,2.5,79.0,3,1034.1,3,13.0,1,0,0,0,0,0,1,0,1,0,0
169,34.0,51.0,9.0,40.0,3,1009.21,4,6.0,0,1,0,0,1,0,0,1,0,0,0
170,33.0,88.0,19.0,98.0,3,998.8,2,3.0,1,0,0,0,0,0,1,0,1,0,0
171,17.0,72.0,20.0,56.0,3,990.4,0,4.0,0,0,1,0,0,0,1,0,1,0,0
172,30.0,58.0,1.0,43.0,3,1018.95,2,6.0,0,0,0,1,0,1,0,1,0,0,0
173,17.0,69.0,2.0,35.0,3,1009.83,1,8.5,0,1,0,0,1,0,0,1,0,0,0
174,-5.0,94.0,9.0,63.0,3,989.82,0,5.0,0,0,0,1,0,0,1,0,0,1,0
175,17.0,64.0,19.5,95.0,3,1016.54,2,5.0,0,1,0,0,1,0,0,0,1,0,0
176,-13.0,60.0,9.5,18.0,1,931.79,7,5.5,0,0,0,1,1,0,0,1,0,0,0
177,34.0,88.0,19.5,73.0,3,1018.01,1,4.0,0,1,0,0,0,1,0,0,1,0,0
178,41.0,90.0,21.5,103.0,3,1002.15,13,4.0,0,0,0,1,1,0,0,0,1,0,0
179,13.0,77.0,5.0,68.0,2,1021.09,3,8.5,1,0,0,0,0,1,0,1,0,0,0
180,23.0,35.0,3.5,12.0,0,1028.43,7,8.0,0,1,0,0,0,1,0,0,0,0,1
181,16.0,96.0,19.0,57.0,3,1003.05,0,4.5,0,1,0,0,0,1,0,0,1,0,0
182,-7.0,70.0,8.5,62.0,3,993.19,1,2.0,0,0,0,1,0,0,1,0,0,1,0
183,3.0,90.0,9.5,87.0,3,997.83,0,2.5,0,0,0,1,0,0,1,0,0,1,0
184,39.0,54.0,0.0,3.0,0,1024.65,8,9.5,1,0,0,0,0,1,0,0,0,0,1
185,21.0,64.0,19.0,96.0,1,1006.43,0,4.5,0,0,0,1,1,0,0,0,1,0,0
186,38.0,69.0,6.5,19.0,0,1011.2,5,8.0,0,1,0,0,1,0,0,0,0,0,1
187,-6.0,81.0,19.5,66.0,3,995.18,0,1.5,0,0,0,1,0,1,0,0,0,1,0
188,10.0,80.0,16.5,99.0,3,1005.34,3,3.5,0,1,0,0,1,0,0,0,1,0,0
189,23.0,73.0,14.5,32.0,1,1002.91,4,7.5,1,0,0,0,0,0,1,1,0,0,0
190,38.0,21.0,0.0,14.0,2,960.81,2,6.0,1,0,0,0,0,0,1,0,0,1,0
191,15.0,97.0,12.5,62.0,3,1013.38,2,3.0,0,0,0,1,1,0,0,0,1,0,0
192,20.0,55.0,2.0,7.0,0,1029.67,9,9.0,0,1,0,0,0,1,0,0,0,0,1
193,26.0,82.0,18.0,54.0,1,998.36,1,3.0,1,0,0,0,1,0,0,0,1,0,0
194,23.0,60.0,19.5,62.0,1,1014.54,2,4.5,0,0,0,1,1,0,0,0,1,0,0
195,26.0,68.0,4.0,39.0,1,1016.39,4,5.5,0,0,1,0,0,0,1,1,0,0,0
196,10.0,99.0,16.0,58.0,3,995.85,2,1.5,1,0,0,0,0,0,1,0,1,0,0
197,20.0,42.0,4.0,13.0,1,1028.3,5,8.0,1,0,0,0,0,0,1,0,0,0,1
198,-2.0,32.0,1.5,17.0,3,930.32,1,11.0,0,0,0,1,1,0,0,0,1,0,0
199,-1.0,94.0,13.0,74.0,3,981.13,0,4.0,0,0,0,1,0,1,0,0,0,1,0
200,28.0,65.0,13.5,48.0,1,1013.19,4,5.5,0,0,1,0,0,0,1,1,0,0,0
201,-10.0,94.0,7.5,98.0,1,989.37,1,4.0,0,0,0,1,0,0,1,0,0,1,0
202,41.0,57.0,4.0,19.0,0,1025.59,10,6.5,0,1,0,0,1,0,0,0,0,0,1
203,34.0,78.0,14.5,13.0,3,1014.07,1,6.0,0,0,1,0,0,0,1,1,0,0,0
204,33.0,30.0,9.5,7.0,1,1019.11,11,5.0,0,1,0,0,1,0,0,0,0,0,1
205,28.0,56.0,8.5,12.0,1,1013.53,1,7.5,0,0,0,1,1,0,0,1,0,0,0
206,49.0,64.0,4.0,61.0,2,1130.72,14,0.0,0,0,0,1,1,0,0,1,0,0,0
207,28.0,77.0,4.5,68.0,1,1175.6,14,0.0,1,0,0,0,1,0,0,0,0,1,0
208,34.0,99.0,34.0,74.0,1,1016.03,9,1.0,1,0,0,0,0,1,0,0,1,0,0
209,-7.0,97.0,4.5,73.0,3,987.68,0,2.0,0,0,0,1,0,0,1,0,0,1,0
210,78.0,81.0,8.0,78.0,3,1010.19,1,4.5,1,0,0,0,0,1,0,1,0,0,0
211,25.0,24.0,9.5,91.0,3,834.02,13,3.5,0,0,0,1,0,1,0,0,0,1,0
212,31.0,100.0,15.0,90.0,0,1019.98,8,5.0,0,0,1,0,1,0,0,0,0,0,1
213,19.0,97.0,9.0,56.0,3,1015.74,3,2.0,0,1,0,0,0,0,1,0,1,0,0
214,34.0,97.0,17.5,76.0,3,1016.2,1,2.5,0,0,1,0,1,0,0,0,1,0,0
215,10.0,80.0,17.0,69.0,3,1012.7,3,1.5,0,0,1,0,1,0,0,0,1,0,0
216,28.0,76.0,0.5,16.0,1,1018.62,4,7.5,0,0,1,0,0,1,0,1,0,0,0
217,18.0,74.0,0.5,39.0,3,1007.53,1,8.5,1,0,0,0,0,0,1,1,0,0,0
218,32.0,63.0,3.0,46.0,1,1006.96,1,8.5,0,0,1,0,0,1,0,1,0,0,0
219,-7.0,82.0,7.5,57.0,3,985.06,0,2.5,0,0,0,1,0,0,1,0,0,1,0
220,22.0,61.0,8.5,13.0,1,1009.6,2,6.5,0,1,0,0,0,1,0,1,0,0,0
221,63.0,86.0,13.0,75.0,0,1027.31,14,2.5,0,0,1,0,1,0,0,0,0,0,1
222,23.0,78.0,15.0,60.0,3,991.36,2,4.0,1,0,0,0,0,1,0,0,1,0,0
223,27.0,83.0,16.0,53.0,3,1003.68,1,2.5,0,0,1,0,1,0,0,0,1,0,0
224,-9.0,67.0,13.0,92.0,3,981.36,0,2.0,0,0,0,1,0,0,1,0,0,1,0
225,-10.0,92.0,17.0,96.0,3,982.06,1,4.5,0,0,0,1,0,0,1,0,0,1,0
226,10.0,68.0,8.0,99.0,3,1014.01,3,1.5,0,1,0,0,1,0,0,0,1,0,0
227,35.0,33.0,7.0,5.0,1,1025.51,5,7.5,0,0,0,1,1,0,0,0,0,0,1
228,73.0,82.0,47.0,107.0,3,1002.73,0,0.5,0,0,0,1,0,0,1,0,1,0,0
229,22.0,89.0,12.0,85.0,1,1017.54,11,2.0,0,0,0,1,1,0,0,1,0,0,0
230,2.0,86.0,11.5,64.0,1,999.36,1,2.5,0,0,0,1,0,0,1,0,0,1,0
231,30.0,71.0,12.0,92.0,1,992.51,2,3.0,0,1,0,0,0,0,1,0,1,0,0
232,30.0,55.0,5.0,31.0,1,1004.15,2,6.5,1,0,0,0,0,0,1,1,0,0,0
233,14.0,68.0,11.5,11.0,3,1012.85,2,6.5,0,0,0,1,1,0,0,1,0,0,0
234,19.0,91.0,18.5,97.0,3,1011.14,0,4.0,1,0,0,0,0,1,0,0,1,0,0
235,34.0,71.0,4.0,35.0,3,1001.54,3,6.5,0,0,1,0,1,0,0,1,0,0,0
236,27.0,79.0,14.0,29.0,1,1008.79,1,7.5,0,0,1,0,0,1,0,1,0,0,0
237,8.0,78.0,34.5,106.0,1,982.66,11,3.5,0,0,0,1,0,1,0,0,0,1,0
238,-3.0,76.0,10.0,85.0,3,986.77,0,3.5,0,0,0,1,0,0,1,0,0,1,0
239,29.0,107.0,0.5,93.0,1,1002.18,8,10.0,0,1,0,0,1,0,0,1,0,0,0
240,27.0,54.0,7.0,11.0,1,1015.78,2,6.0,0,0,1,0,1,0,0,1,0,0,0
241,22.0,95.0,35.5,87.0,3,998.45,11,4.0,0,0,0,1,1,0,0,0,1,0,0
242,24.0,27.0,2.0,12.0,1,1015.66,7,6.0,0,1,0,0,0,1,0,0,0,0,1
243,33.0,69.0,8.0,5.0,0,1026.28,9,9.5,1,0,0,0,0,1,0,0,0,0,1
244,28.0,47.0,11.5,24.0,1,1105.69,9,1.5,1,0,0,0,0,1,0,0,0,0,1
245,32.0,59.0,0.5,18.0,1,1016.89,2,7.0,0,1,0,0,0,1,0,1,0,0,0
246,-10.0,72.0,2.5,96.0,3,988.45,0,2.0,0,0,0,1,0,0,1,0,0,1,0
247,28.0,108.0,7.5,83.0,1,1018.84,1,4.0,0,0,1,0,0,1,0,0,0,0,1
248,27.0,26.0,9.0,14.0,1,1018.24,5,7.0,0,0,0,1,0,1,0,0,0,0,1
249,-9.0,71.0,9.5,83.0,3,996.4,1,3.5,0,0,0,1,0,1,0,0,0,1,0
250,28.0,86.0,9.5,52.0,3,1005.41,3,3.0,1,0,0,0,1,0,0,0,1,0,0
251,-4.0,64.0,1.0,85.0,3,993.69,1,1.5,0,0,0,1,0,1,0,0,0,1,0
252,25.0,51.0,5.0,18.0,0,1019.65,7,7.0,1,0,0,0,1,0,0,0,0,0,1
253,12.0,92.0,20.0,51.0,3,1010.65,3,2.0,0,1,0,0,0,0,1,0,1,0,0
254,-12.0,22.0,6.5,71.0,1,1097.74,1,9.0,0,1,0,0,1,0,0,0,0,1,0
255,14.0,65.0,6.5,26.0,1,1019.03,1,6.5,1,0,0,0,1,0,0,1,0,0,0
256,2.0,71.0,11.0,66.0,3,984.83,0,3.0,0,0,0,1,0,0,1,0,0,1,0
257,43.0,24.0,7.0,1.0,0,1020.87,9,7.0,0,0,1,0,0,1,0,0,0,0,1
258,-10.0,84.0,5.0,75.0,3,990.82,0,4.5,0,0,0,1,0,0,1,0,0,1,0
259,1.0,52.0,13.5,18.0,3,829.86,14,6.5,0,1,0,0,1,0,0,1,0,0,0
260,25.0,86.0,11.0,75.0,3,1006.57,0,4.0,1,0,0,0,1,0,0,0,1,0,0
261,30.0,96.0,4.5,97.0,1,1001.66,1,5.5,0,0,1,0,0,0,1,1,0,0,0
262,44.0,94.0,9.0,109.0,0,1024.46,2,6.5,0,1,0,0,1,0,0,0,0,0,1
263,12.0,89.0,17.5,75.0,3,997.65,2,2.0,1,0,0,0,0,1,0,0,1,0,0
264,20.0,48.0,3.0,10.0,0,1019.81,10,9.5,1,0,0,0,0,1,0,0,0,0,1
265,32.0,71.0,19.0,92.0,3,1003.24,3,2.5,0,0,1,0,0,0,1,0,1,0,0
266,13.0,79.0,11.0,63.0,3,990.71,2,4.5,0,1,0,0,1,0,0,0,1,0,0
267,-24.0,84.0,23.5,80.0,3,984.68,0,1.5,0,0,0,1,0,0,1,0,0,1,0
268,22.0,46.0,5.0,1.0,0,1014.95,11,7.0,0,0,1,0,0,0,1,0,0,0,1
269,25.0,57.0,3.5,0.0,1,1016.85,10,8.5,0,0,1,0,0,1,0,0,0,0,1
